date,avg_price,active_addresses,google_trends,top100_coins_percent,avg_polarity
2017/4/21,1256.0,524111,16.751,17.968,0.083091981
2017/4/22,1252.0,597061,16.751,17.892,0.108910998
2017/4/23,1252.0,552828,15.766,17.911,0.077102307
2017/4/24,1257.0,535749,17.073,17.891,0.100181339
2017/4/25,1269.0,617338,18.38,17.9,0.102306392
2017/4/26,1293.0,657283,20.527,17.857,0.059402298
2017/4/27,1318.0,586559,20.693,17.76,0.104150856
2017/4/28,1326.0,582496,20.195,17.802,0.092754209
2017/4/29,1335.0,711671,18.556,17.802,0.106509818
2017/4/30,1337.0,600660,18.058,17.833,0.106005532
2017/5/1,1390.0,576293,22.421,17.861,0.067369478
2017/5/2,1437.0,680926,26.32,17.897,0.102168851
2017/5/3,1462.0,588869,25.345,17.905,0.056434276
2017/5/4,1517.0,753229,34.118,17.901,0.09686541
2017/5/5,1534.0,564794,30.219,17.875,0.082143639
2017/5/6,1530.0,784841,24.37,17.87,0.111144517
2017/5/7,1541.0,674255,24.37,17.863,0.118811063
2017/5/8,1600.0,758420,27.295,17.822,0.097830195
2017/5/9,1700.0,672124,37.043,17.855,0.145273784
2017/5/10,1721.0,619011,34.118,17.806,0.095890953
2017/5/11,1800.0,615560,37.043,17.82,0.101975041
2017/5/12,1763.0,662980,42.892,17.785,0.060474824
2017/5/13,1700.0,700155,45.816,17.802,0.116481605
2017/5/14,1776.0,799756,38.992,17.746,0.096357131
2017/5/15,1722.0,701202,51.665,17.782,0.07590677
2017/5/16,1709.0,543062,46.791,17.75,0.115510275
2017/5/17,1790.0,688862,39.967,17.656,0.084827606
2017/5/18,1837.0,665980,35.093,17.73,0.097481861
2017/5/19,1923.0,695947,40.942,17.786,0.10077276
2017/5/20,1988.0,731296,38.992,17.802,0.066324143
2017/5/21,2045.0,702995,42.892,17.841,0.080538849
2017/5/22,2149.0,672718,65.312,17.852,0.131354542
2017/5/23,2208.0,781781,69.211,17.863,0.094137938
2017/5/24,2379.0,703528,74.085,17.878,0.120261519
2017/5/25,2568.0,716690,97.481,17.907,0.043959984
2017/5/26,2377.0,715227,76.035,17.975,0.088252304
2017/5/27,2061.0,740964,67.262,18.057,0.081847792
2017/5/28,2158.0,722868,50.69,18.119,0.091534817
2017/5/29,2208.0,287271,49.715,18.138,0.082928401
2017/5/30,2258.0,739891,48.74,18.078,0.120427757
2017/5/31,2236.0,723331,46.791,18.036,0.101858946
2017/6/1,2384.0,719043,44.841,18.12,0.101154787
2017/6/2,2413.0,666124,39.967,18.154,0.10926435
2017/6/3,2500.0,802291,37.043,18.135,0.112986173
2017/6/4,2512.0,631077,37.043,18.134,0.075125672
2017/6/5,2594.0,641367,41.917,18.106,0.130304288
2017/6/6,2822.0,707787,57.514,18.188,0.077783375
2017/6/7,2797.0,772650,50.69,18.171,0.097189259
2017/6/8,2741.0,714351,44.841,18.182,0.107146643
2017/6/9,2811.0,637712,42.892,18.17,0.073494971
2017/6/10,2845.0,621836,41.917,18.158,0.074454338
2017/6/11,2894.0,552018,42.892,18.203,0.108596018
2017/6/12,2799.0,623992,55.564,18.268,0.073195056
2017/6/13,2712.0,667607,47.766,18.18,0.067747137
2017/6/14,2654.0,630203,47.766,18.16,0.064268203
2017/6/15,2377.0,701947,58.488,18.146,0.11947349
2017/6/16,2456.0,649512,48.74,18.047,0.073316015
2017/6/17,2559.0,590552,39.967,18.073,0.094439304
2017/6/18,2566.0,543702,37.043,18.062,0.104593114
2017/6/19,2561.0,613924,38.992,18.061,0.107447475
2017/6/20,2657.0,649241,40.942,18.045,0.059414037
2017/6/21,2707.0,616138,41.917,18.126,0.095305899
2017/6/22,2677.0,609732,41.917,18.116,0.108886523
2017/6/23,2710.0,608551,40.942,18.085,0.117501974
2017/6/24,2654.0,562893,38.018,18.096,0.072821164
2017/6/25,2567.0,455780,35.093,18.134,0.070332666
2017/6/26,2472.0,587642,44.841,18.129,0.104188368
2017/6/27,2409.0,585419,48.74,18.053,0.128017948
2017/6/28,2524.0,632364,47.766,18.022,0.094514239
2017/6/29,2545.0,519741,40.942,17.92,0.103165965
2017/6/30,2513.0,608065,33.143,17.894,0.087282495
2017/7/1,2447.0,553869,31.989,17.941,0.102164685
2017/7/2,2431.0,522589,33.573,17.953,0.047496984
2017/7/3,2518.0,569565,34.06,17.865,0.075384582
2017/7/4,2588.0,599532,33.573,17.874,0.123398325
2017/7/5,2566.0,542986,34.06,17.919,0.105111589
2017/7/6,2589.0,535621,35.157,17.961,0.076513688
2017/7/7,2542.0,659401,33.512,18.021,0.095548411
2017/7/8,2513.0,540203,31.014,18.034,0.132175676
2017/7/9,2540.0,456471,31.44,17.956,0.128447043
2017/7/10,2455.0,653136,36.619,17.934,0.044023367
2017/7/11,2341.0,686794,42.773,17.928,0.081260302
2017/7/12,2341.0,629432,39.178,17.891,0.104022844
2017/7/13,2365.0,577485,36.68,17.907,0.099723342
2017/7/14,2276.0,554616,36.619,17.862,0.066758399
2017/7/15,2079.0,563899,40.763,17.93,0.090349544
2017/7/16,1941.0,526161,48.075,17.947,0.089938846
2017/7/17,2054.0,588715,43.87,17.886,0.058166507
2017/7/18,2268.0,668897,43.87,17.914,0.115122057
2017/7/19,2309.0,628744,41.25,17.946,0.117383955
2017/7/20,2471.0,569655,45.942,17.971,0.082193446
2017/7/21,2702.0,617962,44.967,18.04,0.109583667
2017/7/22,2766.0,560329,38.752,17.999,0.090864757
2017/7/23,2760.0,452365,38.752,17.944,0.099528403
2017/7/24,2745.0,598606,39.239,17.953,0.077806434
2017/7/25,2625.0,573931,40.824,17.89,0.079675995
2017/7/26,2503.0,556061,40.275,17.625,0.080260193
2017/7/27,2571.0,578589,39.178,17.606,0.095962888
2017/7/28,2742.0,581605,43.809,17.742,0.07148215
2017/7/29,2725.0,566344,37.107,17.746,0.127948395
2017/7/30,2693.0,466432,36.619,17.861,0.083437676
2017/7/31,2771.0,604541,46.978,17.441,0.070430671
2017/8/1,2785.0,409797,77.876,17.258,0.041939114
2017/8/2,2718.0,514331,71.295,17.188,0.08239738
2017/8/3,2747.0,476033,48.261,17.335,0.088754186
2017/8/4,2831.0,597535,43.874,17.334,0.063855935
2017/8/5,3152.0,584199,57.036,17.396,0.12454994
2017/8/6,3238.0,460436,47.165,17.281,0.071425333
2017/8/7,3306.0,600914,54.842,17.175,0.103544309
2017/8/8,3422.0,707948,55.939,17.224,0.107337263
2017/8/9,3353.0,611098,52.649,17.08,0.10008937
2017/8/10,3399.0,621626,48.261,17.022,0.079520999
2017/8/11,3514.0,643660,50.455,17.027,0.085247029
2017/8/12,3780.0,578782,61.424,16.952,0.086399074
2017/8/13,4041.0,600939,74.586,16.985,0.08043388
2017/8/14,4185.0,572827,83.361,16.998,0.132029682
2017/8/15,4189.0,732653,84.457,17.05,0.086602336
2017/8/16,4177.0,570693,71.295,16.948,0.09760434
2017/8/17,4354.0,753763,68.005,17.055,0.110898653
2017/8/18,4240.0,605239,71.295,17.096,0.112310415
2017/8/19,4090.0,621226,63.617,17.131,0.098867155
2017/8/20,4101.0,498210,59.23,17.127,0.101284845
2017/8/21,4043.0,503262,59.23,17.079,0.093719186
2017/8/22,3941.0,395885,68.005,17.1,0.090629124
2017/8/23,4156.0,724005,60.327,17.134,0.053412925
2017/8/24,4202.0,492102,54.842,17.185,0.090326466
2017/8/25,4367.0,513654,57.036,17.141,0.101529972
2017/8/26,4323.0,511783,52.649,17.137,0.116745998
2017/8/27,4349.0,653089,50.455,17.088,0.101530918
2017/8/28,4316.0,569988,53.746,17.046,0.071874469
2017/8/29,4473.0,645223,61.424,17.006,0.115039868
2017/8/30,4586.0,696257,64.714,17.029,0.113794613
2017/8/31,4677.0,663732,69.102,17.027,0.076921826
2017/9/1,4808.0,657004,74.586,16.967,0.094932717
2017/9/2,4694.0,620539,68.005,17.001,0.083383126
2017/9/3,4601.0,503533,61.424,17.035,0.078633186
2017/9/4,4402.0,657343,76.779,17.019,0.084892815
2017/9/5,4290.0,669751,77.876,17.012,0.071164902
2017/9/6,4564.0,701223,68.005,17.024,0.085711791
2017/9/7,4613.0,652038,61.424,17.002,0.140617023
2017/9/8,4509.0,700931,65.811,16.964,0.079865104
2017/9/9,4327.0,534259,53.746,17.009,0.076343918
2017/9/10,4224.0,486607,53.746,17.125,0.102553427
2017/9/11,4239.0,627296,60.327,17.059,0.12062479
2017/9/12,4271.0,633035,60.327,17.007,0.073221249
2017/9/13,3956.0,627711,80.07,16.997,0.073260294
2017/9/14,3648.0,604275,98.716,16.967,0.069550342
2017/9/15,3430.0,710163,109.685,16.994,0.108153637
2017/9/16,3733.0,576734,72.392,16.97,0.102934615
2017/9/17,3669.0,473746,60.327,16.99,0.087396086
2017/9/18,3962.0,557095,70.198,16.887,0.068185924
2017/9/19,3978.0,246700,64.714,16.889,0.081123221
2017/9/20,3958.0,531769,55.939,16.913,0.096349566
2017/9/21,3811.0,612206,57.036,16.908,0.085520451
2017/9/22,3645.0,545336,52.649,16.847,0.067201261
2017/9/23,3735.0,477105,44.971,16.834,0.084487285
2017/9/24,3713.0,461817,41.68,16.792,0.090726553
2017/9/25,3832.0,565137,49.358,16.789,0.092788432
2017/9/26,3928.0,627044,46.068,16.796,0.115949724
2017/9/27,4045.0,577233,50.455,16.808,0.082599999
2017/9/28,4200.0,661471,48.261,16.8,0.063524201
2017/9/29,4156.0,664321,47.165,16.797,0.123522419
2017/9/30,4290.0,524353,42.777,16.808,0.155624669
2017/10/1,4323.0,526734,43.527,16.808,0.076810281
2017/10/2,4421.0,717195,49.902,16.797,0.07998949
2017/10/3,4326.0,674378,49.354,16.821,0.116138762
2017/10/4,4263.0,517066,47.16,16.822,0.128269306
2017/10/5,4268.0,553810,45.173,16.806,0.059443879
2017/10/6,4372.0,698593,43.527,16.823,0.058253349
2017/10/7,4364.0,573488,41.882,16.816,0.082339048
2017/10/8,4508.0,557288,46.612,16.851,0.090491202
2017/10/9,4655.0,647180,54.632,16.912,0.075529874
2017/10/10,4825.0,689686,55.729,17.009,0.098447878
2017/10/11,4796.0,663108,55.729,17.023,0.109431778
2017/10/12,5076.0,678030,92.881,17.081,0.043720754
2017/10/13,5611.0,685777,106.728,17.093,0.04748123
2017/10/14,5677.0,719689,74.305,17.116,0.130985502
2017/10/15,5632.0,736669,68.478,17.122,0.088675236
2017/10/16,5680.0,722882,69.575,17.142,0.112893825
2017/10/17,5633.0,744315,66.833,17.126,0.13209117
2017/10/18,5398.0,706896,68.478,17.208,0.08018503
2017/10/19,5656.0,780977,66.833,17.24,0.096128857
2017/10/20,5788.0,743148,75.402,17.299,0.072252078
2017/10/21,6077.0,703327,86.506,17.303,0.090738766
2017/10/22,5919.0,795453,73.757,17.31,0.11182961
2017/10/23,5877.0,753657,81.777,17.3,0.099024346
2017/10/24,5662.0,827482,90.687,17.252,0.085068197
2017/10/25,5546.0,803636,80.68,17.16,0.131486005
2017/10/26,5824.0,675483,79.583,17.187,0.101005427
2017/10/27,5824.0,593315,67.382,17.189,0.102478725
2017/10/28,5755.0,610090,56.826,17.1855,0.073732764
2017/10/29,5882.0,626865,65.736,17.182000000000002,0.071131062
2017/10/30,6122.0,643640,74.853,17.1785,0.101326788
2017/10/31,6244.0,660415,87.603,17.175,0.053260419
2017/11/1,6507.0,677190,104.867,17.173,0.051966325
2017/11/2,6963.0,693966,141.879,17.171,0.048039476
2017/11/3,7240.0,710741,129.542,17.17,0.064404583
2017/11/4,7264.0,727516,104.867,17.168,0.107282206
2017/11/5,7472.0,744291,98.699,17.166,0.085919885
2017/11/6,7254.0,761066,104.867,17.164,0.080087918
2017/11/7,7113.0,777842,98.699,17.322,0.087451013
2017/11/8,7383.0,742562,104.867,17.341,0.102028855
2017/11/9,7250.0,820490,98.699,17.384,0.107550735
2017/11/10,6951.0,692632,123.373,17.439,0.069780217
2017/11/11,6549.0,536909,117.205,17.444,0.084190338
2017/11/12,6115.0,434508,148.048,17.288,0.082909442
2017/11/13,6345.0,766736,129.542,17.286,0.091131641
2017/11/14,6601.0,730693,98.699,17.37,0.081590038
2017/11/15,7074.0,656508,104.867,17.345,0.099984831
2017/11/16,7462.0,749130,104.867,17.345,0.088064619
2017/11/17,7840.0,841753,123.373,17.348,0.086492026
2017/11/18,7705.0,722113,92.53,17.348,0.122358985
2017/11/19,7832.0,803338,92.53,17.349,0.079052891
2017/11/20,8112.0,836952,117.205,17.323,0.076915434
2017/11/21,8178.0,844422,123.373,17.198,0.087720971
2017/11/22,8206.0,744622,104.867,17.133,0.141176159
2017/11/23,8184.0,835255,98.699,17.058,0.094803188
2017/11/24,8168.0,792418,92.53,17.037,0.123756929
2017/11/25,8464.0,838662,98.699,17.085,0.054025637
2017/11/26,9041.0,791025,148.048,17.034,0.107982037
2017/11/27,9607.0,895407,197.398,17.019,0.133454844
2017/11/28,9867.0,857193,228.241,17.022,0.068122669
2017/11/29,10480.0,989871,376.289,17.121,0.085612928
2017/11/30,9996.0,934600,308.434,17.195,0.101089146
2017/12/1,10236.0,961135,234.41,17.209,0.08769878
2017/12/2,10976.0,808982,178.892,17.223,0.09331374
2017/12/3,11320.0,846141,178.892,17.228,0.118861438
2017/12/4,11414.0,991943,209.735,17.217,0.082378045
2017/12/5,11716.0,971003,215.904,17.188,0.075416113
2017/12/6,12656.0,1072008,289.928,17.123,0.06655701
2017/12/7,15282.0,871878,579.855,17.13,0.078265237
2017/12/8,16326.0,966052,512.0,17.035,0.061728091
2017/12/9,15335.0,984629,345.446,17.048,0.065751758
2017/12/10,14558.0,961658,333.108,17.11,0.085767776
2017/12/11,16561.0,977830,388.626,17.157,0.068046593
2017/12/12,16914.0,972328,357.783,17.147,0.094477452
2017/12/13,16746.0,1090944,320.771,17.322,0.097048077
2017/12/14,16521.0,1133157,283.759,17.3,0.079850483
2017/12/15,17543.0,1036971,259.084,17.374,0.094165681
2017/12/16,18334.0,949920,252.916,17.384,0.083649081
2017/12/17,19401.0,1012311,283.759,17.573,0.103047531
2017/12/18,18854.0,1004904,289.928,17.628,0.115313524
2017/12/19,18319.0,855045,302.265,17.586,0.08442417
2017/12/20,16899.0,918969,407.132,17.448,0.058640575
2017/12/21,16311.0,856302,320.771,17.42,0.116067427
2017/12/22,14030.0,959550,616.867,17.504,0.06848084
2017/12/23,15086.0,888892,382.458,17.513,0.064275049
2017/12/24,13698.0,925819,289.928,17.519,0.095615567
2017/12/25,13825.0,758165,240.578,17.553,0.080723506
2017/12/26,15224.0,753514,240.578,17.576,0.093786947
2017/12/27,15712.0,921366,228.241,17.597,0.076336259
2017/12/28,14342.0,865808,228.241,17.626,0.083910637
2017/12/29,14598.0,959700,203.566,17.704,0.087006731
2017/12/30,13277.0,874666,203.566,17.672,0.097626724
2017/12/31,13402.0,847972,172.723,17.945,0.113386558
2018/1/1,13523.0,842391,158.04,18.038,0.127733044
2018/1/2,13924.0,982159,189.385,18.05,0.15070052
2018/1/3,15027.0,953442,186.3,18.092,0.126299207
2018/1/4,14883.0,1071574,181.447,18.021,0.07265997
2018/1/5,15881.0,951484,179.677,17.964,0.095154092
2018/1/6,16784.0,1043134,158.494,17.931,0.105642811
2018/1/7,16733.0,994708,159.809,17.959,0.105368245
2018/1/8,15476.0,1022976,177.908,18.088,0.099138963
2018/1/9,15041.0,985166,167.747,18.11,0.081111411
2018/1/10,14328.0,989424,174.824,18.053,0.106446904
2018/1/11,13863.0,1077376,196.007,18.095,0.054243802
2018/1/12,13850.0,984432,161.578,18.147,0.111402648
2018/1/13,14363.0,834309,141.71,18.171,0.105720933
2018/1/14,13821.0,813222,132.003,18.186,0.116886838
2018/1/15,13932.0,813490,133.318,18.231,0.099304341
2018/1/16,12255.0,874574,263.551,18.281,0.065923122
2018/1/17,10747.0,957141,355.816,18.269,0.0785636
2018/1/18,11561.0,931879,240.598,18.292,0.084312917
2018/1/19,11560.0,858958,179.677,18.312,0.088061466
2018/1/20,12544.0,846869,148.333,18.477,0.08953779
2018/1/21,11984.0,864703,135.087,18.63,0.109626982
2018/1/22,11217.0,809424,161.578,18.683,0.096471063
2018/1/23,10800.0,784072,153.186,18.684,0.12013558
2018/1/24,11094.0,848037,139.94,18.637,0.113865529
2018/1/25,11384.0,750794,132.003,18.625,0.086565804
2018/1/26,11085.0,723781,135.087,18.588,0.084466318
2018/1/27,11294.0,778222,116.988,18.398,0.096300625
2018/1/28,11710.0,641321,110.365,18.397,0.096882928
2018/1/29,11372.0,653494,112.134,18.239,0.106509707
2018/1/30,10781.0,707495,125.38,18.183,0.083343625
2018/1/31,10154.0,579948,135.087,18.145,0.122206259
2018/2/1,9755.0,726833,169.848,18.196,0.05642404
2018/2/2,8748.0,763496,222.925,18.273,0.122503619
2018/2/3,9091.0,620918,148.617,18.314,0.104607051
2018/2/4,8826.0,595294,127.386,18.288,0.072672752
2018/2/5,7704.0,777110,222.925,18.367,0.073166539
2018/2/6,6852.0,849088,279.541,18.421,0.098940026
2018/2/7,7933.0,694798,180.463,18.426,0.041514612
2018/2/8,8256.0,651284,152.155,18.292,0.064315163
2018/2/9,8300.0,689413,127.386,18.521,0.088784033
2018/2/10,8691.0,593126,102.616,18.502,0.132821415
2018/2/11,8234.0,730277,99.078,18.516,0.079450064
2018/2/12,8662.0,781308,106.155,18.589,0.094649543
2018/2/13,8657.0,729810,102.616,18.579,0.072973931
2018/2/14,9055.0,815887,102.616,18.566,0.107625454
2018/2/15,9838.0,640344,109.693,18.591,0.113595563
2018/2/16,10058.0,637546,95.539,18.532,0.113599615
2018/2/17,10713.0,680664,88.462,18.529,0.129849643
2018/2/18,10772.0,631438,92.001,18.499,0.042503577
2018/2/19,10902.0,688075,92.001,18.48,0.068197075
2018/2/20,11551.0,610136,99.078,18.45,0.096505355
2018/2/21,10851.0,615201,95.539,18.428,0.083799571
2018/2/22,10325.0,633718,92.001,18.432,0.126944976
2018/2/23,10046.0,643584,81.385,18.672,0.09585102
2018/2/24,9975.0,627718,70.77,18.872,0.134916632
